address,price,details,Price,Bedrooms,Bathrooms,Latitude,Longitude
"2550 Lawrence Ave #1402, Toronto, ON M1P 4Z3","C$539,000",2 bds2 ba- Condo for sale,539000,2,2,43.7516958,-79.26639850000001
"17 Anndale Dr #2310, Toronto, ON M2N 2W7","C$589,000",1 bd1 ba- Condo for sale,589000,1,1,43.760124,-79.40765379999999
"6 Muskox Dr, Toronto, ON M1B 6E9","C$1,149,900",4 bds4 ba- House for sale,1149900,4,4,43.81026869999999,-79.18442530000002
"234 A Albion Rd #304, Toronto, ON M9W 6A5","C$499,900",3 bds2 ba- Condo for sale,499900,3,2,43.7211803,-79.5443161
"106 Dovercourt Rd #411, Toronto, ON M6J 0G4","C$738,000",2 bds2 ba- Condo for sale,738000,2,2,43.6432808,-79.422524
"96 Dunraven Dr, Toronto, ON M6M 1H3","C$1,050,000",3 bds2 ba- House for sale,1050000,3,2,43.6852496,-79.4675918
"25 Ritchie Ave #111, Toronto, ON M6R 2J6","C$1,090,000",2 bds2 ba- Condo for sale,1090000,2,2,43.6523516,-79.4500271
"45 Cedarcroft Blvd #3, Toronto, ON M2R 3Y2","C$599,000",3 bds3 ba- Townhouse for sale,599000,3,3,43.7828726,-79.4497039
"18 Denver Cres, Toronto, ON M2J 1G7","C$2,490,000",5 bds4 ba- House for sale,2490000,5,4,43.77193459999999,-79.35687109999999
"365 Church St #612, Toronto, ON M5B 0B5","C$959,000",3 bds2 ba- Condo for sale,959000,3,2,43.6610459,-79.3787591
"279 Lappin Ave, Toronto, ON M6H 1Y9","C$919,999",2 bds2 ba- Townhouse for sale,919999,2,2,43.6645261,-79.4465967
"1 A Palace Pier Ct #2706, Toronto, ON M8V 3W9","C$1,599,900",2 bds3 ba- Condo for sale,1599900,2,3,43.6316252,-79.47271789999999
"25 Fontenay Ct #808, Toronto, ON M9A 0C4","C$849,800",2 bds2 ba- Condo for sale,849800,2,2,43.682477,-79.5111077
"50 Shirley St, Toronto, ON M6K 1T1","C$1,550,000",4 bds3 ba- House for sale,1550000,4,3,43.6480804,-79.43832479999999
"83 Montressor Dr, Toronto, ON M2P 1Z3","C$2,480,000",4 bds5 ba- House for sale,2480000,4,5,43.7592502,-79.3937588
"9 Burnhamthorpe Cres #316, Toronto, ON M9A 0A6","C$499,900",1 bd1 ba- Condo for sale,499900,1,1,43.6499861,-79.5291506
"10 Queens Quay W #1204, Toronto, ON M5J 2R9","C$999,990",2 bds2 ba- Condo for sale,999990,2,2,43.6418407,-79.3757998
"599 Sammon Ave, Toronto, ON M4C 2E1","C$989,000",3 bds3 ba- House for sale,989000,3,3,43.688997,-79.323995
"24 Fieldway Rd UNIT 19, Toronto, ON M8Z 0E3","C$579,000",1 bd1 ba694 sqft- Townhouse for sale,579000,1,1,43.6420776,-79.52794759999999
"38 Ascot Ave, Toronto, ON M6E 1E7","C$1,999,900",4 bds5 ba- House for sale,1999900,4,5,43.67996429999999,-79.445567
"585 Bloor St E #1603, Toronto, ON M4X 1N5","C$880,000",2 bds2 ba- Condo for sale,880000,2,2,43.6717536,-79.3714449
"665 Kennedy Rd #510, Toronto, ON M1K 5E2","C$419,900",3 bds2 ba- Condo for sale,419900,3,2,43.7260386,-79.2649208
"3231 Eglinton Ave #507, Toronto, ON M1J 3N5","C$399,900",1 bd1 ba- Condo for sale,399900,1,1,43.7436905,-79.21306779999999
"34 A Raven Rd, Toronto, ON M6L 2A7","C$1,788,000",4 bds5 ba- House for sale,1788000,4,5,43.7144051,-79.5038761
"55 Bremner Blvd #2311, Toronto, ON M5J 0A6","C$629,000",1 bd1 ba- Condo for sale,629000,1,1,43.642884,-79.3804767
"20 Joe Shuster Way #622, Toronto, ON M6K 0A3","C$599,900",2 bds2 ba- Condo for sale,599900,2,2,43.640128,-79.4243082
"104 Holmes Ave, Toronto, ON M2N 4M4","C$2,050,000",4 bds4 ba- House for sale,2050000,4,4,43.7795394,-79.4075774
"30 Canterbury Pl #1210, Toronto, ON M2N 0B9","C$549,000",1 bd2 ba- Condo for sale,549000,1,2,43.7732072,-79.4154398
"55 Regent Park Blvd #512, Toronto, ON M5A 0C2","C$599,000",1 bd1 ba- Condo for sale,599000,1,1,43.6596211,-79.36095759999999
"100 Silver Birch Ave, Toronto, ON M4E 3L4","C$1,745,000",4 bds3 ba- House for sale,1745000,4,3,43.6737754,-79.2858461
"60 Colborne St #1905, Toronto, ON M5E 0B7","C$499,000",Studio1 ba- Condo for sale,499000,1,1,43.649504,-79.3744937
"140 Simcoe St #1220, Toronto, ON M5H 4E9","C$590,000",1 bd1 ba- Condo for sale,590000,1,1,43.64960000000001,-79.38716769999999
"183 Beech Ave, Toronto, ON M4E 3H8","C$1,660,000",3 bds3 ba- House for sale,1660000,3,3,43.67552999999999,-79.2885
"44 Fairfield Rd, Toronto, ON M4P 1T1","C$1,649,000",3 bds2 ba- House for sale,1649000,3,2,43.711532,-79.38592709999999
"39 Transwell Ave, Toronto, ON M2R 2J9","C$1,350,000",3 bds2 ba- House for sale,1350000,3,2,43.780305,-79.4429768
"31 Felan Cres, Toronto, ON M9V 3A2","C$798,800",4 bds2 ba- House for sale,798800,4,2,43.7365453,-79.57676169999999
"9 Danjohn Cres, Toronto, ON M1V 3N2","C$799,000",3 bds2 ba- House for sale,799000,3,2,43.8114788,-79.2807132
"478 King St W #608, Toronto, ON M5V 0A8","C$899,000",2 bds2 ba- Condo for sale,899000,2,2,43.6454454,-79.3960975
"170 Chiltern Hill Rd UNIT 410, Toronto, ON M6C 0A9","C$599,000",1 bd1 ba- Condo for sale,599000,1,1,43.7002599,-79.4278485
"215 Wynford Dr #701, Toronto, ON M3C 3P5","C$820,000",2 bds3 ba- Condo for sale,820000,2,3,43.7234822,-79.3272283
"11 Charlotte St #410, Toronto, ON M5V 0M6","C$548,000",1 bd1 ba- Condo for sale,548000,1,1,43.6464437,-79.39358419999999
"203 Caledonia Rd, Toronto, ON M6E 4S9","C$799,000",3 bds2 ba- House for sale,799000,3,2,43.6819446,-79.45721449999999
"50 Forest Manor Rd #1111, Toronto, ON M2J 0E3","C$599,000",1 bd2 ba- Condo for sale,599000,1,2,43.7727169,-79.34540899999999
"68 Roseglen Cres, Toronto, ON M3N 1G6","C$988,000",4 bds3 ba- House for sale,988000,4,3,43.7457998,-79.5191684
"9 Mabelle Ave #2023, Toronto, ON M9A 0E1","C$749,900",3 bds2 ba- Condo for sale,749900,3,2,43.64613,-79.5260433
"1 King St W #821, Toronto, ON M5H 1A1","C$349,000",Studio1 ba- Condo for sale,349000,1,1,43.6489445,-79.37814019999999
"5 A York Ave, Toronto, ON M6N 2V1","C$840,000",3 bds2 ba- House for sale,840000,3,2,43.6855015,-79.4877554
"16 Brookers Ln #2801, Toronto, ON M8V 0A5","C$499,000",1 bd1 ba- Condo for sale,499000,1,1,43.6269107,-79.4786185
"11 Superior Ave #611, Toronto, ON M8V 0A7","C$529,999",1 bd1 ba- Condo for sale,529999,1,1,43.61522919999999,-79.4889486
"19 Singer Ct #519, Toronto, ON M2K 0B2","C$599,000",2 bds2 ba- Condo for sale,599000,2,2,43.7691693,-79.36997649999999
"1 Rowntree Rd, Toronto, ON M9V 5G7","C$569,000","3 bds2 ba1,806 sqft- Condo for sale",569000,3,2,43.7512238,-79.5830043
"564 Dufferin St, Toronto, ON M6K 2A9","C$1,399,000",9 bds2 ba- House for sale,1399000,9,2,43.6479866,-79.4310409
"35 Hollywood Ave #511, Toronto, ON M2N 0A9","C$639,900",2 bds2 ba- Condo for sale,639900,2,2,43.7656295,-79.410051
"50 Forest Manor Rd #811, Toronto, ON M2J 0E3","C$599,000",1 bd2 ba- Condo for sale,599000,1,2,43.7727169,-79.34540899999999
"521 Browns Line, Toronto, ON M8W 3V1","C$1,649,000",5 bds3 ba- House for sale,1649000,5,3,43.6037004,-79.5457696
"190 Manitoba St #505, Toronto, ON M8Y 3Y8","C$678,000",2 bds2 ba- Condo for sale,678000,2,2,43.6241473,-79.49191909999999
"62 Golfview Ave, Toronto, ON M4E 2K2","C$989,000",2 bds2 ba- House for sale,989000,2,2,43.67785,-79.30734
"25 London Green Ct #25, Toronto, ON M3N 1K3","C$749,999",4 bds2 ba- Townhouse for sale,749999,4,2,43.7527793,-79.51146039999999
"25 Town Centre Ct UNIT 1903, Toronto, ON M1P 0B4","C$524,000",1 bd1 ba- Condo for sale,524000,1,1,43.773363,-79.25472169999999
"13 Brentwood Ave, Toronto, ON M2N 2L6","C$3,250,000",4 bds5 ba- House for sale,3250000,4,5,43.7591632,-79.4258516
"1 Rean Dr #812, Toronto, ON M2K 3C1","C$649,000",2 bds2 ba- Condo for sale,649000,2,2,43.76515029999999,-79.3834741
"18 Spring Garden Ave #3509, Toronto, ON M2N 7M2","C$459,900",1 bd1 ba- Condo for sale,459900,1,1,43.7648801,-79.41045439999999
"3668 Saint Clair Ave E, Toronto, ON M1M 1T2","C$798,000",4 bds4 ba- Townhouse for sale,798000,4,4,43.7191649,-79.2504926
"480 Queens Quay W #806W, Toronto, ON M5V 2Y5","C$2,427,000",3 bds3 ba- Condo for sale,2427000,3,3,43.6375254,-79.39407179999999
"70 Annie Craig Dr #805, Toronto, ON M8V 0G2","C$739,900",1 bd2 ba- Condo for sale,739900,1,2,43.6247425,-79.4789275
"70 Annie Craig Dr #4409, Toronto, ON M8V 0G2","C$789,900",1 bd2 ba- Condo for sale,789900,1,2,43.6247425,-79.4789275
"32 Davenport Rd #707, Toronto, ON M5R 0B5","C$1,158,888",2 bds2 ba- Condo for sale,1158888,2,2,43.67327179999999,-79.3898897
"399 Connaught Ave, Toronto, ON M2R 2M1","C$2,798,888",4 bds5 ba- House for sale,2798888,4,5,43.7850227,-79.4364346
"80 Cumberland St S #204, Toronto, ON M5R 3V1","C$1,499,000",2 bds2 ba- Condo for sale,1499000,2,2,43.6706282,-79.3903517
"52 Reindeer Dr, Toronto, ON M1B 6H5","C$789,000",3 bds3 ba- Townhouse for sale,789000,3,3,43.8090653,-79.17953030000001
"67 Trailview Ter, Toronto, ON M1B 6H5","C$799,900",3 bds3 ba- Townhouse for sale,799900,3,3,43.8085677,-79.1786012
"375 King St W #1408, Toronto, ON M5V 1K5","C$585,000",1 bd1 ba- Condo for sale,585000,1,1,43.6457486,-79.3930826
"26 Norton Ave #407, Toronto, ON M2N 0H6","C$811,100",2 bds2 ba- Condo for sale,811100,2,2,43.7726149,-79.4127603
"167 Gledhill Ave, Toronto, ON M4C 5K9","C$899,900",3 bds2 ba- House for sale,899900,3,2,43.6918853,-79.3105753
"627 The West Mall #1504, Toronto, ON M9C 4X5","C$599,999",3 bds2 ba- Condo for sale,599999,3,2,43.6553643,-79.5702658
"1413 Bloor St W, Toronto, ON M6P 3L4","C$1,980,000",6 bds4 ba- House for sale,1980000,6,4,43.6571636,-79.4474532
"1 Dunblaine Ave, Toronto, ON M5M 2R6","C$3,599,900",4 bds5 ba- House for sale,3599900,4,5,43.7362044,-79.4182107
"73 Prosperity Ptwy, Toronto, ON M1B 4G9","C$795,000",4 bds4 ba- House for sale,795000,4,4,43.8111454,-79.2191004
"389 Winnett Ave, Toronto, ON M6C 3M2","C$1,490,000",3 bds5 ba- House for sale,1490000,3,5,43.6940635,-79.435101
"30 Herons Hill Way #2310, Toronto, ON M2J 0A7","C$680,000",3 bds2 ba- Condo for sale,680000,3,2,43.7749383,-79.3352515
"73 Prosperity Ptwy, Toronto, ON M1B 4G9","C$795,000",4 bds4 ba- House for sale,795000,4,4,43.8111454,-79.2191004
"633 Bay St #2316, Toronto, ON M5G 2G4","C$809,900",2 bds2 ba- Condo for sale,809900,2,2,43.6569087,-79.38356739999999
"237 Manning Ave, Toronto, ON M6J 2K8","C$2,299,999",9 bds6 ba- House for sale,2299999,9,6,43.6524702,-79.4110898
"25 Grenville St #1507, Toronto, ON M4Y 2X5","C$650,000",2 bds1 ba- Condo for sale,650000,2,1,43.6617585,-79.3846976
"48 Rosemount Dr, Toronto, ON M1K 2W9","C$999,000",3 bds3 ba- House for sale,999000,3,3,43.73473449999999,-79.276388
"2212 Lake Shore Blvd W UNIT 3808, Toronto, ON M8V 0C2","C$725,000",2 bds2 ba- Condo for sale,725000,2,2,43.6225855,-79.4824892
"135 Wynford Dr #702, Toronto, ON M3C 0J4","C$730,000",2 bds2 ba- Condo for sale,730000,2,2,43.726463,-79.32810839999999
"46 Tangle Briarway #9, Toronto, ON M2J 2M4","C$848,800","3 bds3 ba1,684 sqft- Townhouse for sale",848800,3,3,43.7830286,-79.3672773
"159 Dundas St E UNIT 3904, Toronto, ON M5B 0A9","C$569,000",1 bd1 ba- Condo for sale,569000,1,1,43.6568285,-79.37501519999999
"621 Sheppard Ave E #726, Toronto, ON M2K 0G4","C$669,888",2 bds2 ba- Condo for sale,669888,2,2,43.7679669,-79.381305
"50 George Butchart Dr, Toronto, ON M3K 1Y2","C$559,900",2 bds1 ba- Condo for sale,559900,2,1,43.73654519999999,-79.48387869999999
"1 Benvenuto Pl #221, Toronto, ON M4V 2L1","C$1,799,000",1 bd2 ba- Condo for sale,1799000,1,2,43.6813727,-79.40019889999999
"19 Ashgrove Pl, Toronto, ON M3B 2Y9","C$3,999,000",5 bds7 ba- House for sale,3999000,5,7,43.7423098,-79.34213079999999
"38 Lee Centre Dr #2603, Toronto, ON M1H 3J7","C$579,000",2 bds2 ba- Condo for sale,579000,2,2,43.7817588,-79.2466125
"1420 Dupont St #813, Toronto, ON M6H 0C2","C$479,000",1 bd1 ba- Condo for sale,479000,1,1,43.6667421,-79.4482712
"40 Portage Ave, Toronto, ON M9N 3G7","C$799,000",3 bds2 ba- House for sale,799000,3,2,43.7091795,-79.5203353
"7 Kimbercroft Ct, Toronto, ON M1S 4V6","C$849,999",3 bds3 ba- House for sale,849999,3,3,43.7908901,-79.2403373
"30 Meadowglen Pl #1408, Toronto, ON M1G 0A6","C$475,000",1 bd2 ba- Condo for sale,475000,1,2,43.7746779,-79.2305336
"5 Saint Joseph St #316, Toronto, ON M4Y 0B6","C$588,888",1 bd1 ba- Condo for sale,588888,1,1,43.6657586,-79.3856777
"28 Wellesley St E #2509, Toronto, ON M4Y 0C4","C$768,000",2 bds1 ba- Condo for sale,768000,2,1,43.6655193,-79.3829212
"9 Valhalla Inn Rd #811, Toronto, ON M9B 0B2","C$579,786",2 bds1 ba- Condo for sale,579786,2,1,43.6398779,-79.5593676
"83 Billings Ave, Toronto, ON M4L 2S3","C$1,199,999","4 bds2 ba1,085 sqft- House for sale",1199999,4,2,43.6689485,-79.3258755
"284 Mill Rd PENTHOUSE 11, Toronto, ON M9C 4W6","C$649,000","2 bds2 ba1,226 sqft- Condo for sale",649000,2,2,43.6375506,-79.58245199999999
"278 A Bloor St E #1306, Toronto, ON M4W 3M4","C$1,059,800",2 bds2 ba- Condo for sale,1059800,2,2,43.6721683,-79.3804767
"197 Yonge St S #4005, Toronto, ON M5B 0C1","C$799,000",1 bd1 ba- Condo for sale,799000,1,1,43.6535246,-79.3792385
"65 Harbour Sq #2508, Toronto, ON M5J 2L4","C$1,589,000",2 bds2 ba- Condo for sale,1589000,2,2,43.6400545,-79.3787285
"750 Bay St #503, Toronto, ON M5G 1N6","C$938,000",2 bds2 ba- Condo for sale,938000,2,2,43.6596664,-79.38605749999999
"12 Jade St, Toronto, ON M1T 2T8","C$899,000",3 bds4 ba- House for sale,899000,3,4,43.7813561,-79.2913361
"43 Shadberry Dr, Toronto, ON M2H 3C9","C$999,000",3 bds3 ba- House for sale,999000,3,3,43.8038951,-79.3519195
"20 Gladstone Ave #305, Toronto, ON M6J 0E9","C$649,000",2 bds1 ba- Condo for sale,649000,2,1,43.64350659999999,-79.42769070000001
"55 Bloor St E #907, Toronto, ON M4W 3W6","C$649,000",2 bds2 ba- Condo for sale,649000,2,2,43.67038,-79.38514409999999
"151 Village Green Sq #906, Toronto, ON M1S 0K5","C$628,000",3 bds2 ba- Condo for sale,628000,3,2,43.7788438,-79.28132509999999
"106 Duncanwoods Dr, Toronto, ON M9L 2C9","C$849,000",4 bds2 ba- House for sale,849000,4,2,43.7514244,-79.56462429999999
"955 Bay St #709, Toronto, ON M5S 0C6","C$668,900",2 bds1 ba- Condo for sale,668900,2,1,43.6646319,-79.3869529
"66 Clareville Cres, Toronto, ON M2J 2C1","C$1,388,000",5 bds2 ba- House for sale,1388000,5,2,43.777213,-79.3590275
"179 Kennard Ave, Toronto, ON M3H 4M8","C$2,190,000",4 bds5 ba- House for sale,2190000,4,5,43.7595731,-79.462606
"1 Sylvestre Sq, Toronto, ON M1W 3V1","C$1,190,000",6 bds6 ba- House for sale,1190000,6,6,43.8172272,-79.3175447
"89 Mcgill St #2108, Toronto, ON M5B 0B1","C$869,000",2 bds2 ba- Condo for sale,869000,2,2,43.6606215,-79.3786217
"215 Queen St W #1312, Toronto, ON M5V 1Z4","C$479,000",Studio1 ba- Condo for sale,479000,1,1,43.65042769999999,-79.3877847
"16 Bonnycastle St #2007, Toronto, ON M5A 0C9","C$619,900",1 bd1 ba- Condo for sale,619900,1,1,43.6460855,-79.3648886
"71 Cassis Dr, Toronto, ON M9V 4Z4","C$1,249,900",7 bds5 ba- House for sale,1249900,7,5,43.7515254,-79.60402909999999
"106 Duncanwoods Dr, Toronto, ON M9L 2C9","C$849,000",4 bds2 ba- House for sale,849000,4,2,43.7514244,-79.56462429999999
"8 The Esplanade #2806, Toronto, ON M5E 0A6","C$779,000",2 bds1 ba- Condo for sale,779000,2,1,43.6460366,-79.3763206
"215 Queen St W #1312, Toronto, ON M5V 1Z4","C$479,000",Studio1 ba- Condo for sale,479000,1,1,43.65042769999999,-79.3877847
"25 Kenora Cres, Toronto, ON M6M 1C5","C$830,000",3 bds2 ba- House for sale,830000,3,2,43.6844323,-79.46329109999999
"89 Mcgill St #2108, Toronto, ON M5B 0B1","C$869,000",2 bds2 ba- Condo for sale,869000,2,2,43.6606215,-79.3786217
"81 Gennela Sq, Toronto, ON M1B 5M7","C$1,099,000",5 bds4 ba- House for sale,1099000,5,4,43.8137433,-79.1988269
"151 Village Green Sq #906, Toronto, ON M1S 0K5","C$628,000",3 bds2 ba- Condo for sale,628000,3,2,43.7788438,-79.28132509999999
"16 Bonnycastle St #2007, Toronto, ON M5A 0C9","C$619,900",1 bd1 ba- Condo for sale,619900,1,1,43.6460855,-79.3648886
"125 Blue Jays Way #5308, Toronto, ON M5V 0N5","C$1,049,900",4 bds2 ba- Condo for sale,1049900,4,2,43.6457862,-79.3918496
"56 Annie Craig Dr #3401, Toronto, ON M8V 0C8","C$1,499,000",2 bds2 ba- Condo for sale,1499000,2,2,43.6254787,-79.4788159
"475 Silverstone Dr, Toronto, ON M9V 3L2","C$997,000",3 bds3 ba- House for sale,997000,3,3,43.7394214,-79.5967134
"116 Micmac Cres, Toronto, ON M2H 2K2","C$899,000",4 bds4 ba- House for sale,899000,4,4,43.7956495,-79.3405901
"30 Boneset Rd, Toronto, ON M2J 4X4","C$899,000",3 bds2 ba- House for sale,899000,3,2,43.7765728,-79.33428119999999
"609 Cummer Ave, Toronto, ON M2K 2M5","C$1,899,998",4 bds4 ba- House for sale,1899998,4,4,43.7943758,-79.38345679999999
"2220 Lakeshore Blvd W #UPH06, Toronto, ON M8V 0C1","C$999,000",3 bds2 ba- Condo for sale,999000,3,2,43.6228596,-79.4831828
"1274 Kipling Ave, Toronto, ON M9B 3N5","C$998,888",3 bds2 ba- House for sale,998888,3,2,43.6627216,-79.54489029999999
"73 Mentor Blvd, Toronto, ON M2H 2M9","C$958,000",3 bds2 ba- House for sale,958000,3,2,43.803085,-79.3497994
"43 Lambton Ave, Toronto, ON M6N 2S3","C$899,900","2 bds2 ba1,078 sqft- House for sale",899900,2,2,43.6835052,-79.48630639999999
"30 Roehampton Ave #320, Toronto, ON M4P 0B9","C$699,800",1 bd1 ba- Condo for sale,699800,1,1,43.7085241,-79.39760919999999
"10 Martha Eaton Way #1005, Toronto, ON M6M 5B3","C$439,000",2 bds2 ba- Condo for sale,439000,2,2,43.69730999999999,-79.48989999999999
"25 Four Winds Dr #1107, Toronto, ON M3J 1K8","C$499,000",2 bds1 ba- Condo for sale,499000,2,1,43.7641585,-79.4961388
"100 Wingarden Ct #1902, Toronto, ON M1B 2P4","C$445,000",2 bds2 ba- Condo for sale,445000,2,2,43.8115126,-79.2260204
"1060 Sheppard Ave #401, Toronto, ON M3J 0G7","C$555,000",1 bd1 ba- Condo for sale,555000,1,1,43.7506089,-79.46386890000001
"48 Dellbrook Cres, Toronto, ON M9L 1E2","C$799,900",3 bds3 ba- House for sale,799900,3,3,43.7554782,-79.57479
"70 Forest Manor Rd #2812, Toronto, ON M2J 0A9","C$735,000",2 bds2 ba- Condo for sale,735000,2,2,43.7745395,-79.3449495
"2010 Islington Ave #1604, Toronto, ON M9P 3S8","C$828,888",3 bds2 ba- Condo for sale,828888,3,2,43.6982931,-79.5478787
"72 Beaumonde Heights Dr, Toronto, ON M9V 1V9","C$999,000",3 bds2 ba- House for sale,999000,3,2,43.7430105,-79.5685863
"41 Frank Rivers Dr, Toronto, ON M1W 3R9","C$899,000",3 bds4 ba- House for sale,899000,3,4,43.818043,-79.3273406
"141 Glencairn Ave, Toronto, ON M4R 1N1","C$3,388,000",4 bds2 ba- House for sale,3388000,4,2,43.7167452,-79.4075943
"3 Thornly Cres, Toronto, ON M9B 2M4","C$1,498,000","4 bds3 ba1,222 sqft- House for sale",1498000,4,3,43.6609495,-79.5458683
"15 Melton Grove St, Toronto, ON M2R 2G8","C$1,200,000",2 bds3 ba- House for sale,1200000,2,3,43.7772844,-79.436713
"783 Bathurst St #805, Toronto, ON M5S 0A8","C$1,199,900",3 bds2 ba- Condo for sale,1199900,3,2,43.6645657,-79.4107991
"460 R Adelaide St E #733, Toronto, ON M5A 0E7","C$699,999",2 bds2 ba- Condo for sale,699999,2,2,43.65280500000001,-79.3666927
"95 Bathurst St #321, Toronto, ON M5V 0H7","C$649,900",1 bd1 ba- Condo for sale,649900,1,1,43.6445805,-79.40255789999999
"48 Cork Ave, Toronto, ON M6B 2X8","C$1,190,000","3 bds2 ba1,600 sqft- House for sale",1190000,3,2,43.7139535,-79.45135049999999
"1 Hycrest Ave W #308, Toronto, ON M2N 6V8","C$689,000",2 bds2 ba- Condo for sale,689000,2,2,43.7660565,-79.3917989
