address,price,details,Price,Bedrooms,Bathrooms,Latitude,Longitude
"35 Church St #202, Toronto, ON M5E 1T3","C$789,000",1 bd1 ba- Condo for sale,789000,1,1,43.6491415,-79.3738573
"129 Harewood Ave, Toronto, ON M1M 2R6","C$989,999",2 bds2 ba- House for sale,989999,2,2,43.724321,-79.2358856
"108 Ellerslie Ave, Toronto, ON M2N 1X8","C$1,299,888",2 bds1 ba- House for sale,1299888,2,1,43.7706506,-79.418594
"248 Sutherland Dr, Toronto, ON M4G 1J3","C$2,849,000",4 bds5 ba- House for sale,2849000,4,5,43.7060161,-79.3647496
"832 Bay St #2501, Toronto, ON M5S 1Z6","C$689,900",1 bd1 ba- Condo for sale,689900,1,1,43.6620809,-79.3865134
"371 Spadina Rd, Toronto, ON M5P 2V7","C$2,799,000",5 bds3 ba- House for sale,2799000,5,3,43.6872705,-79.4119078
"621 Sheppard Ave E #327, Toronto, ON M2K 0G4","C$469,000",1 bd1 ba- Condo for sale,469000,1,1,43.7679669,-79.381305
"231 Fort York Blvd #2507, Toronto, ON M5V 1B2","C$659,900",1 bd1 ba- Condo for sale,659900,1,1,43.6370379,-79.4063934
"47 Hepscott Ter, Toronto, ON M1W 1C9","C$899,999",4 bds2 ba- House for sale,899999,4,2,43.7927296,-79.3289884
"44 Blackwater Cres, Toronto, ON M1B 1L6","C$859,900",3 bds4 ba- House for sale,859900,3,4,43.7987811,-79.2167305
"17 Whitefriars Dr, Toronto, ON M3A 2L2","C$1,449,000",3 bds4 ba- House for sale,1449000,3,4,43.7486573,-79.33029830000001
"386 Yonge St #2007, Toronto, ON M5B 0A5","C$1,089,900",3 bds2 ba- Condo for sale,1089900,3,2,43.6596706,-79.3825726
"37 Centrepark Dr, Toronto, ON M6M 5K3","C$888,888",3 bds3 ba- House for sale,888888,3,3,43.6952558,-79.4984228
"30 Roehampton Ave #906, Toronto, ON M4P 0B9","C$649,500",1 bd1 ba- Condo for sale,649500,1,1,43.7085241,-79.39760919999999
"8 Thunder Grv #99, Toronto, ON M1V 1V6","C$649,900",3 bds2 ba- Townhouse for sale,649900,3,2,43.8103714,-79.26549779999999
"71 Parrotta Dr, Toronto, ON M9M 0B5","C$848,888",4 bds4 ba- Townhouse for sale,848888,4,4,43.7334097,-79.53536749999999
"41 Holcolm Rd, Toronto, ON M2N 2C8","C$989,000",3 bds3 ba- House for sale,989000,3,3,43.7763076,-79.4189143
"1 Aberfoyle Cres #809, Toronto, ON M8X 2X8","C$719,000",1 bd1 ba- Condo for sale,719000,1,1,43.6458046,-79.5197835
"380 Macpherson Ave #106, Toronto, ON M4V 3E3","C$1,490,000","3 bds3 ba1,360 sqft- Condo for sale",1490000,3,3,43.6764978,-79.40576639999999
"290 Valermo Dr, Toronto, ON M8W 0B6","C$1,775,000",4 bds4 ba- House for sale,1775000,4,4,43.6094065,-79.5331509
"34 Marlborough Ave, Toronto, ON M5R 1X6","C$2,199,000",3 bds4 ba- Townhouse for sale,2199000,3,4,43.679833,-79.39199959999999
"50 George Butchart Dr #17, Toronto, ON M3K 1Y2","C$559,900",1 bd1 ba- Condo for sale,559900,1,1,43.73654519999999,-79.48387869999999
"11 Charlotte St #702, Toronto, ON M5V 0M6","C$950,000",2 bds2 ba842 sqft- Condo for sale,950000,2,2,43.6464437,-79.39358419999999
"1003 Bathurst St, Toronto, ON M5R 3G8","C$2,199,900",6 bds4 ba- House for sale,2199900,6,4,43.6707663,-79.41314659999999
"65 Saint Mary St #4007, Toronto, ON M5S 0A6","C$739,000",1 bd1 ba- Condo for sale,739000,1,1,43.6672065,-79.389162
"5 Marine Parade Dr #707, Toronto, ON M8V 4B4","C$699,999",2 bds2 ba- Condo for sale,699999,2,2,43.6299034,-79.4755739
"190 Benjamin Boake Trl, Toronto, ON M3J 3C4","C$1,069,900",4 bds3 ba- House for sale,1069900,4,3,43.74695089999999,-79.49448579999999
"1 Massey Sq #2503, Toronto, ON M4C 5L4","C$459,900",2 bds1 ba- Condo for sale,459900,2,1,43.696526,-79.294243
"60 Holmstead Ave, Toronto, ON M4B 1T2","C$1,099,000",6 bds3 ba- House for sale,1099000,6,3,43.7097886,-79.2981291
"80 Esther Lorrie Dr #602, Toronto, ON M9W 0C6","C$469,900",2 bds1 ba- Condo for sale,469900,2,1,43.731918,-79.57693739999999
"89 Roxanne Cres, Toronto, ON M1V 4J2","C$999,900",4 bds4 ba- House for sale,999900,4,4,43.8278519,-79.2867198
"50 Verne Cres #49, Toronto, ON M1B 2X1","C$679,999",3 bds3 ba- Condo for sale,679999,3,3,43.7961956,-79.23700269999999
"50 Forest Manor Rd #1504, Toronto, ON M2J 0E3","C$619,000",2 bds2 ba- Condo for sale,619000,2,2,43.7727169,-79.34540899999999
"112 Chelwood Rd, Toronto, ON M1K 2K8","C$699,900",4 bds3 ba- House for sale,699900,4,3,43.7282131,-79.2714763
"560 Front St W #710, Toronto, ON M5V 1C1","C$449,000",1 bd1 ba- Condo for sale,449000,1,1,43.64125,-79.3999726
"42 Ashbury Ave, Toronto, ON M6E 1V7","C$899,000",2 bds2 ba- House for sale,899000,2,2,43.69038889999999,-79.4417868
"225 Village Green Sq #2108, Toronto, ON M1S 0L7","C$689,000",3 bds2 ba- Condo for sale,689000,3,2,43.7797917,-79.28182509999999
"85 Wood St #4005, Toronto, ON M4Y 2N4","C$599,000",1 bd1 ba- Condo for sale,599000,1,1,43.66278639999999,-79.3792921
"2 Moorecroft Cres, Toronto, ON M1K 3V1","C$988,000",3 bds2 ba- House for sale,988000,3,2,43.7377825,-79.26660849999999
"25 Deerford Rd, Toronto, ON M2J 3H9","C$1,548,000",5 bds4 ba- House for sale,1548000,5,4,43.786558,-79.3489855
"123 Anthony Rd, Toronto, ON M3K 1B7","C$2,499,000",4 bds4 ba- House for sale,2499000,4,4,43.7280942,-79.4693123
"5 Saint Joseph St #2204, Toronto, ON M4Y 0B6","C$679,000",2 bds1 ba- Condo for sale,679000,2,1,43.6657586,-79.3856777
"178 5th St, Toronto, ON M8V 2Z7","C$899,000",3 bds2 ba- House for sale,899000,3,2,43.6030901,-79.50405719999999
"36 A Mendota Rd #2, Toronto, ON M8Y 1E8","C$1,099,000",4 bds3 ba- Townhouse for sale,1099000,4,3,43.62422429999999,-79.4976346
"21 Windsor Rd, Toronto, ON M9R 3G2","C$999,999",3 bds3 ba- House for sale,999999,3,3,43.6989374,-79.555779
"19 Rosebank Dr #2101, Toronto, ON M1B 5Z2","C$699,000",3 bds3 ba- Condo for sale,699000,3,3,43.7915008,-79.2367495
"53 Bradstone Sq, Toronto, ON M1B 1W1","C$799,000",4 bds3 ba- Townhouse for sale,799000,4,3,43.8121169,-79.2308395
"380 Hopewell Ave #222, Toronto, ON M6E 2S2","C$799,000",2 bds2 ba- Condo for sale,799000,2,2,43.7007513,-79.4438251
"3076 Lake Shore Blvd W #8, Toronto, ON M8V 4E3","C$849,000",2 bds3 ba- Townhouse for sale,849000,2,3,43.5996087,-79.51156449999999
"2269 Lake Shore Blvd W #909, Toronto, ON M8V 3X6","C$649,900",1 bd2 ba- Condo for sale,649900,1,2,43.6196334,-79.48429709999999
"146 N Woodrow Blvd, Toronto, ON M1K 1X1","C$799,000",3 bds3 ba- House for sale,799000,3,3,43.7149734,-79.2668961
"388 Browns Line #302, Toronto, ON M8W 3T8","C$675,000",1 bd2 ba- Condo for sale,675000,1,2,43.600966,-79.5452907
"3390 Weston Rd #704, Toronto, ON M9M 2X3","C$397,000",2 bds1 ba- Condo for sale,397000,2,1,43.7491022,-79.54282540000001
"10 Salinas Ct, Toronto, ON M6B 4L3","C$1,199,000",5 bds4 ba- House for sale,1199000,5,4,43.7001287,-79.4491975
"85 Wood St #502, Toronto, ON M4Y 0E8","C$748,000",2 bds2 ba- Condo for sale,748000,2,2,43.66278639999999,-79.3792921
"488 University Ave #3112, Toronto, ON M5G 0C1","C$888,000",1 bd1 ba- Condo for sale,888000,1,1,43.6550277,-79.3890703
"44 Lavington Dr, Toronto, ON M9R 2H2","C$958,888",3 bds2 ba- House for sale,958888,3,2,43.6893448,-79.5655148
"19 Grand Trunk Cres #2205, Toronto, ON M5J 3A3","C$699,900",1 bd1 ba- Condo for sale,699900,1,1,43.6416602,-79.3827118
"34 Waxham Rd, Toronto, ON M9W 3L3","C$849,900","4 bds2 ba2,600 sqft- House for sale",849900,4,2,43.725555,-79.58119210000001
"18 Strader Ave, Toronto, ON M6C 1P9","C$899,000",3 bds3 ba- House for sale,899000,3,3,43.69396460000001,-79.4400792
"105 George St #814, Toronto, ON M5A 0L4","C$499,900",1 bd1 ba- Condo for sale,499900,1,1,43.6522051,-79.3707929
"37 Langfield Cres, Toronto, ON M9V 3L6","C$979,900",4 bds3 ba- House for sale,979900,4,3,43.74809219999999,-79.5902327
"200 Manitoba St #511, Toronto, ON M8Y 3Y9","C$599,000",1 bd2 ba- Condo for sale,599000,1,2,43.6244555,-79.4910182
"300 Front St W #303, Toronto, ON M5V 0E9","C$728,000",1 bd1 ba- Condo for sale,728000,1,1,43.6441277,-79.38940579999999
"190 Manitoba St #812, Toronto, ON M8Y 3Y8","C$699,000",2 bds2 ba- Condo for sale,699000,2,2,43.6241473,-79.49191909999999
"24 Tarbert Rd, Toronto, ON M2M 2Y2","C$1,698,000",4 bds3 ba- House for sale,1698000,4,3,43.802449,-79.3913206
"15 Grenville St #710, Toronto, ON M4Y 0B9","C$759,900",2 bds1 ba- Condo for sale,759900,2,1,43.66186140000001,-79.3841461
"10 Park Lawn Rd UNIT 3203, Toronto, ON M8V 0H9","C$549,000",1 bd1 ba- Condo for sale,549000,1,1,43.6233108,-79.48375089999999
"15 Thornbeck Dr, Toronto, ON M1G 2J7","C$949,900",3 bds2 ba- House for sale,949900,3,2,43.7692115,-79.2173242
"236 Albion Rd #912, Toronto, ON M9W 6A6","C$365,000",2 bds1 ba- Condo for sale,365000,2,1,43.7220131,-79.5439842
"180 University Ave #2706, Toronto, ON M5H 0A2","C$2,249,900",2 bds3 ba- Condo for sale,2249900,2,3,43.64882679999999,-79.386259
"50 Town Center Ct #2403, Toronto, ON M1P 0A9","C$479,900",1 bd1 ba- Condo for sale,479900,1,1,43.7732622,-79.2552731
"7 Ellie Dr, Toronto, ON M1G 2G8","C$799,000",3 bds3 ba- House for sale,799000,3,3,43.7652764,-79.2148407
"28 Rexdale Blvd #17, Toronto, ON M9W 5Z3","C$449,900",3 bds2 ba- Townhouse for sale,449900,3,2,43.7142399,-79.55794000000002
"38 Monte Kwinter Ct #217, Toronto, ON M3H 0E1","C$449,000",1 bd1 ba- Condo for sale,449000,1,1,43.7335675,-79.44883089999999
"50 Belleville St, Toronto, ON M4E 0A6","C$799,999",2 bds2 ba- Condo for sale,799999,2,2,43.6871467,-79.2906514
"43 Hisey Cres, Toronto, ON M3N 1T9","C$799,900",3 bds2 ba- House for sale,799900,3,2,43.770092,-79.5280523
"8 Rean Dr #806, Toronto, ON M2K 3B9","C$499,900",1 bd1 ba- Condo for sale,499900,1,1,43.7660492,-79.382764
"175 Hilda Ave #715, Toronto, ON M2M 1V8","C$619,900",3 bds2 ba- Condo for sale,619900,3,2,43.794605,-79.4271802
"3 Harcroft Rd, Toronto, ON M6S 2V8","C$3,999,500",4 bds5 ba- House for sale,3999500,4,5,43.6508818,-79.4717201
"1 Caldy Ct, Toronto, ON M2L 2J5","C$5,775,000",7 bds8 ba- House for sale,5775000,7,8,43.7586757,-79.3877814
"199 Pellatt Ave, Toronto, ON M9N 2P5","C$799,000",3 bds1 ba- House for sale,799000,3,1,43.7140774,-79.5213656
"3303 Don Mills Rd #3308, Toronto, ON M2J 4T6","C$659,900",2 bds2 ba- Condo for sale,659900,2,2,43.7918708,-79.3534687
"79 Courcelette Rd, Toronto, ON M1N 2T1","C$1,399,900","3 bds2 ba1,400 sqft- House for sale",1399900,3,2,43.6778666,-79.2783802
"20 Shore Breeze Dr #401, Toronto, ON M8V 0C7","C$649,900",2 bds2 ba- Condo for sale,649900,2,2,43.6234873,-79.478949
"560 Front St W PENTHOUSE 31, Toronto, ON M5V 1C1","C$1,199,900",3 bds2 ba- Condo for sale,1199900,3,2,43.64125,-79.3999726
"30 Stanley Greene Blvd, Toronto, ON M3K 0A9","C$1,890,000",5 bds4 ba- House for sale,1890000,5,4,43.73335549999999,-79.4781918
"393 Beechgrove Dr #74, Toronto, ON M1E 2R1","C$589,000",3 bds3 ba- Townhouse for sale,589000,3,3,43.776745,-79.1721228
"21 Iceboat Ter #4601, Toronto, ON M5V 4A9","C$599,900",1 bd1 ba- Condo for sale,599900,1,1,43.64049809999999,-79.3974313
"339 Leslie St, Toronto, ON M4M 3C8","C$985,900",4 bds2 ba- Townhouse for sale,985900,4,2,43.6692305,-79.3325333
"39 Brant St UNIT 513, Toronto, ON M5V 0M8","C$619,900",1 bd1 ba- Condo for sale,619900,1,1,43.6464821,-79.39809850000002
"40 Belgravia Ave, Toronto, ON M6E 2M5","C$899,900",4 bds3 ba952 sqft- House for sale,899900,4,3,43.699386,-79.4415385
"12 Sheila Ct, Toronto, ON M9V 3M4","C$699,900",3 bds2 ba- House for sale,699900,3,2,43.7531645,-79.5922395
"295 Adelaide St W #2903, Toronto, ON M5V 0L4","C$699,000",1 bd1 ba- Condo for sale,699000,1,1,43.64767519999999,-79.390532
"100 Wingarden Ct #1016, Toronto, ON M1B 2P4","C$405,000",2 bds2 ba- Condo for sale,405000,2,2,43.8115126,-79.2260204
"9 Eversfield Rd, Toronto, ON M6E 1T6","C$919,000",3 bds2 ba- House for sale,919000,3,2,43.6868022,-79.447732
"36 Manor Rd E #6, Toronto, ON M4S 1P8","C$588,000",1 bd1 ba- Condo for sale,588000,1,1,43.7030241,-79.39580910000001
"41 Princeton Rd, Toronto, ON M8X 2E3","C$1,899,000",3 bds3 ba- House for sale,1899000,3,3,43.65396399999999,-79.5152495
"100 Wingarden Ct #1603, Toronto, ON M1B 2P4","C$405,000",2 bds2 ba- Condo for sale,405000,2,2,43.8115126,-79.2260204
"270 Timberbank Blvd #78, Toronto, ON M1W 2M1","C$729,999",3 bds3 ba- Townhouse for sale,729999,3,3,43.7968965,-79.30735960000001
"100 Wingarden Ct #1916, Toronto, ON M1B 2P4","C$405,000",2 bds2 ba- Condo for sale,405000,2,2,43.8115126,-79.2260204
"9 Cutler Cres, Toronto, ON M8W 2K4","C$1,199,000",3 bds2 ba- House for sale,1199000,3,2,43.6050922,-79.5484809
"32 Treadway Blvd, Toronto, ON M4C 3H5","C$2,100,000",4 bds5 ba- House for sale,2100000,4,5,43.6977183,-79.3284572
"701 Sheppard Ave W #612, Toronto, ON M3H 0B2","C$988,888",3 bds2 ba- Condo for sale,988888,3,2,43.7542446,-79.4432827
"162 Aldercrest Rd, Toronto, ON M8W 4J3","C$1,298,800",4 bds4 ba- House for sale,1298800,4,4,43.6039976,-79.5404174
"19 Cole St #8, Toronto, ON M5A 4M6","C$899,999",3 bds3 ba- Townhouse for sale,899999,3,3,43.660251,-79.3652068
"1940 Queen St E, Toronto, ON M4L 1H6","C$2,269,000",2 bds2 ba- House for sale,2269000,2,2,43.6695573,-79.303173
"75 Blackwell Ave #1, Toronto, ON M1B 1K5","C$574,800",4 bds2 ba- Townhouse for sale,574800,4,2,43.8046758,-79.2189602
"410 Queens Quay W #1513, Toronto, ON M5V 3T1","C$589,000",1 bd1 ba- Condo for sale,589000,1,1,43.63806109999999,-79.3914588
"8 Drummond St #416, Toronto, ON M8V 1Y8","C$499,900",1 bd1 ba- Townhouse for sale,499900,1,1,43.6131774,-79.4980971
"612 Bathurst St, Toronto, ON M5S 2R1","C$1,649,900",4 bds2 ba- House for sale,1649900,4,2,43.6600673,-79.409452
"75 Saint Nicholas St #309, Toronto, ON M4Y 0A5","C$705,000",1 bd1 ba- Condo for sale,705000,1,1,43.6677586,-79.38644599999999
"36 Moorecroft Cres, Toronto, ON M1K 3V1","C$849,000",3 bds2 ba- House for sale,849000,3,2,43.7379426,-79.2689935
"3 Everson Dr #669, Toronto, ON M2N 7C2","C$649,000",2 bds2 ba- Townhouse for sale,649000,2,2,43.75690729999999,-79.4061906
"10 Claybrooke St, Toronto, ON M6M 3P7","C$1,049,900",2 bds2 ba- House for sale,1049900,2,2,43.6942604,-79.4717728
"10 Parkway Forest Dr #1604, Toronto, ON M2J 1L3","C$459,900",2 bds1 ba- Condo for sale,459900,2,1,43.7699559,-79.3454596
"473 Dupont St #4, Toronto, ON M6G 1Y6","C$949,000",2 bds2 ba- Condo for sale,949000,2,2,43.6728265,-79.4150033
"20 Fleming Cres, Toronto, ON M4G 2A8","C$1,949,000",4 bds2 ba- House for sale,1949000,4,2,43.7082008,-79.3736436
"160 Alton Towers Cir #209, Toronto, ON M1V 4X8","C$399,900",1 bd1 ba- Condo for sale,399900,1,1,43.8263262,-79.2750662
"271 Torbarrie Rd, Toronto, ON M3L 0E2","C$799,913",3 bds4 ba- Townhouse for sale,799913,3,4,43.7297692,-79.52391449999999
"10 Tangreen Ct #1204, Toronto, ON M2M 4B9","C$635,000",3 bds2 ba- Condo for sale,635000,3,2,43.7958928,-79.4271329
"1328 Birchmount Rd #1803, Toronto, ON M1R 0B6","C$589,999",2 bds2 ba- Condo for sale,589999,2,2,43.7485378,-79.2861688
"760 Lawrence Ave W #87, Toronto, ON M6A 3E7","C$699,000",3 bds3 ba- Condo for sale,699000,3,3,43.71551119999999,-79.4516599
"83 Borough Dr #2005, Toronto, ON M1P 5E4","C$599,000",2 bds2 ba- Condo for sale,599000,2,2,43.7727959,-79.2617693
"1101 Steeles Ave #410, Toronto, ON M2R 3W5","C$619,990",2 bds2 ba- Condo for sale,619990,2,2,43.7904347,-79.44849099999999
"25 Bamburgh Cir #432, Toronto, ON M1W 3W2","C$615,000",3 bds2 ba- Condo for sale,615000,3,2,43.8155112,-79.3256954
"88 Alton Tower Cir #302, Toronto, ON M1V 5C5","C$499,900",2 bds1 ba- Condo for sale,499900,2,1,43.8248087,-79.27447099999999
"2800 Midland Ave #55, Toronto, ON M1S 3K7","C$688,000",4 bds3 ba- Condo for sale,688000,4,3,43.7979257,-79.2842093
"53 Regent St, Toronto, ON M6N 3N8","C$799,900",3 bds2 ba- House for sale,799900,3,2,43.6814708,-79.4697073
"525 Adelaide St W UNIT 1106, Toronto, ON M5V 0N7","C$999,900",3 bds2 ba- Condo for sale,999900,3,2,43.6451715,-79.40207749999999
"161 Concord Ave, Toronto, ON M6H 2P2","C$1,799,000",6 bds4 ba- House for sale,1799000,6,4,43.6583322,-79.42527869999999
"25 Bella Vista Way, Toronto, ON M3M 3H8","C$899,900",5 bds4 ba- Condo for sale,899900,5,4,43.7425583,-79.49349269999999
"215 Silver Springs Blvd, Toronto, ON M1V 1G5","C$898,000",6 bds4 ba- House for sale,898000,6,4,43.804192,-79.3007691
"901 Kennedy Rd #21, Toronto, ON M1K 2E9","C$550,000",2 bds2 ba- Condo for sale,550000,2,2,43.74126039999999,-79.27122360000001
"36 Lisgar St #1206W, Toronto, ON M6J 0C7","C$539,900",2 bds2 ba- Condo for sale,539900,2,2,43.6420208,-79.4233917
"132 Darcy St, Toronto, ON M5T 1K3","C$1,488,000",10 bds4 ba- House for sale,1488000,10,4,43.6543393,-79.3973322
"42 Protea Gdns, Toronto, ON M2K 2W6","C$1,199,999",3 bds3 ba- Townhouse for sale,1199999,3,3,43.77073499999999,-79.3721156
"10 Queens Quay W #1512, Toronto, ON M5J 2R9","C$679,000",1 bd1 ba- Condo for sale,679000,1,1,43.6418407,-79.3757998
"17 Cotton Ave, Toronto, ON M1K 1Z3","C$999,999",3 bds2 ba- House for sale,999999,3,2,43.71375339999999,-79.2624036
"131 Beecroft Rd #308, Toronto, ON M2N 6G9","C$839,900",2 bds2 ba- Condo for sale,839900,2,2,43.76442,-79.41380060000002
"21 Nelson St #408, Toronto, ON M5V 3H9","C$599,000",1 bd1 ba- Condo for sale,599000,1,1,43.6488776,-79.3880393
"46 Day Ave, Toronto, ON M6E 3V9","C$799,999",3 bds2 ba- House for sale,799999,3,2,43.6821033,-79.447147
"5 Valhalla Inn Rd #1506, Toronto, ON M9B 0B1","C$530,000",1 bd1 ba- Condo for sale,530000,1,1,43.640269,-79.5599604
"238 Bonis Ave #1119, Toronto, ON M1T 3W7","C$499,000",2 bds2 ba- Condo for sale,499000,2,2,43.7859188,-79.2904455
"80 Queens Wharf Rd #503, Toronto, ON M5V 0J3","C$699,900",1 bd1 ba- Condo for sale,699900,1,1,43.63859859999999,-79.400027
"75 Portland St #1001, Toronto, ON M5V 2M9","C$799,000",1 bd1 ba- Condo for sale,799000,1,1,43.6439201,-79.3994776
"33 Pendeen Ave, Toronto, ON M6N 2P4","C$699,000",2 bds2 ba- House for sale,699000,2,2,43.6790297,-79.4992406
"161 Roehampton Ave #1013, Toronto, ON M4P 0C8","C$599,000",1 bd2 ba- Condo for sale,599000,1,2,43.70877249999999,-79.3937821
"290 Adelaide St W #3803, Toronto, ON M5A 1N1","C$468,000",Studio1 ba- Condo for sale,468000,1,1,43.6480809,-79.3910262
"193 Islington Ave, Toronto, ON M8V 3B8","C$1,299,900",4 bds2 ba- House for sale,1299900,4,2,43.6027466,-79.50590729999999
"342 Arlington Ave, Toronto, ON M6C 2Z9","C$1,379,000",3 bds2 ba- House for sale,1379000,3,2,43.6880906,-79.43181469999999
"50 Thimble Berry Way #58, Toronto, ON M2H 3K7","C$699,000",3 bds3 ba- Townhouse for sale,699000,3,3,43.8097189,-79.36079830000001
"111 Bathurst St #717, Toronto, ON M5V 0M9","C$839,000",2 bds1 ba- Condo for sale,839000,2,1,43.6448228,-79.40280369999999
"33 Pidgeon St, Toronto, ON M1L 0C8","C$899,000",4 bds4 ba- Townhouse for sale,899000,4,4,43.71614760000001,-79.2779339
"291 Ontario St #5, Toronto, ON M5A 2V8","C$699,999",2 bds1 ba- Condo for sale,699999,2,1,43.659247,-79.3684691
"135 Mcintosh St, Toronto, ON M1N 3Y8","C$1,299,000",4 bds4 ba- House for sale,1299000,4,4,43.7075121,-79.2518326
"112 Rameau Dr, Toronto, ON M2H 1V4","C$1,298,888",3 bds2 ba- House for sale,1298888,3,2,43.7942568,-79.356676
"602 A Wellington St W #8, Toronto, ON M5V 2X5","C$599,000",1 bd1 ba- Townhouse for sale,599000,1,1,43.6424449,-79.4039768
